,,Iniciativa,Iniciativa,Iniciativa,Iniciativa,Instituições,Instituições,Instituições,Instituições,Instituições,Índice de Cultura
,,Pesquisas pelo Termo Empreendedora,Pesquisas pelo Termo Empreendedorismo,Pesquisas pelo Termo MEI,Índice de Iniciativa,Pesquisas por Sebrae,Pesquisas por Franquia,Pesquisas por SIMPLES Nacional,Pesquisas por Senac,Índice de Instituições,
Município,UF,,,,,,,,,,
Limeira,SP,0.0,27.45,66.5,5.577198197739494,0.0,56.96,0.0,7.800000000000001,4.787295930239685,5.12969685830266
Londrina,PR,45.36000000000001,41.25,53.3,6.268036469493172,30.53,50.400000000000006,40.29,8.99,5.867337143478274,6.072036476717993
Macapá,AP,93.0,100.0,45.080000000000005,8.153361844551807,100.0,64.0,55.00000000000001,65.0,8.63330482865447,8.547133040129092
Maceió,AL,67.89,62.25,71.0,7.463046418510217,54.0,49.0,53.68,46.0,7.1896626917183495,7.411588372830792
Manaus,AM,89.0,39.2,62.37,7.03946180486223,62.0,49.0,60.0,20.21,6.919020294164689,7.04216875824181
Marabá,PA,0.0,60.06,59.2,6.186196665979053,50.4,49.58,51.2,17.0,6.52591465455575,6.378936407445556
Maringá,PR,45.92,45.650000000000006,62.31999999999999,6.572646710931659,33.11,57.6,49.77,7.75,6.167081816182119,6.3936323752569635
Mauá,SP,12.54,31.11,0.0,4.417585536806793,35.91,56.07,0.0,5.2,5.331537959804426,4.802239156713318
Mogi das Cruzes,SP,17.099999999999998,41.48,69.35,6.212564857416882,41.04,69.42,0.0,0.0,5.5513100286596995,5.874350540712349
Montes Claros,MG,0.0,36.18,43.61,5.291558324495347,33.0,49.699999999999996,28.8,12.040000000000001,5.771211212203576,5.50127075013339
Mossoró,RN,63.0,62.0,47.74,6.888640420750756,48.989999999999995,39.949999999999996,45.5,20.5,6.309116172361828,6.637363242656284
Natal,RN,57.96,51.46,60.83,6.849569919410955,69.0,42.769999999999996,44.2,41.0,7.08304899968924,7.028406162136484
Niterói,RJ,32.4,38.64,66.0,6.293288500213271,23.400000000000002,65.57000000000001,33.04,26.68,6.244980172503888,6.28642937023771
Nova Iguaçu,RJ,23.85,35.84,66.0,6.105081887221471,22.23,53.72,22.419999999999998,38.18,6.071439494784589,6.093932474327842
Olinda,PE,0.0,35.28,65.8,5.7459877921118565,23.92,37.95,27.470000000000002,29.6,5.734860252154126,5.723743224758119
Osasco,SP,17.669999999999998,29.89,60.8,5.765446230706277,33.059999999999995,64.97,0.0,6.5,5.465432118334384,5.590726636554176
Palmas,TO,100.0,78.85,76.0,8.419840444306185,73.0,57.75,59.22,51.0,7.855592042276168,8.275089554151183
Paulista,PE,0.0,42.14,64.39999999999999,5.877007124800282,25.48,37.400000000000006,24.12,36.26,5.828965525824788,5.843538974525501
Pelotas,RS,0.0,31.349999999999998,60.0,5.529439972276419,31.68,40.15,35.550000000000004,27.88,6.002574026482914,5.750970207984101
Petrolina,PE,73.0,41.16,56.0,6.719744560996068,29.64,48.95,35.510000000000005,21.83,6.002740958469611,6.384456838815807
Petrópolis,RJ,0.0,27.44,71.0,5.6734031769612105,25.740000000000002,56.09,37.169999999999995,28.060000000000002,6.211976090982273,5.939006771593441
Piracicaba,SP,15.959999999999999,25.62,63.65,5.701799631287672,34.199999999999996,60.52,43.74,7.15,6.127572406096952,5.90920359598459
Ponta Grossa,PR,0.0,42.900000000000006,47.559999999999995,5.533947572960083,23.65,48.0,43.45,7.4399999999999995,5.728530002074727,5.607541559770521
Porto Alegre,RS,38.480000000000004,32.489999999999995,60.0,6.107444091146518,38.4,46.72,46.61,30.34,6.460324181303343,6.302127017531671
Porto Velho,RO,82.0,72.09,44.849999999999994,7.335728845663169,58.080000000000005,55.300000000000004,47.52,26.400000000000002,6.883365448979242,7.180848549301537
Praia Grande,SP,12.54,26.23,75.05,5.91143869867962,27.929999999999996,74.76,0.0,0.0,5.422201157066627,5.645409205208558
Recife,PE,47.449999999999996,29.4,63.699999999999996,6.242708016369595,28.080000000000002,45.1,35.510000000000005,27.75,6.0252580564750255,6.1425930160536915
Ribeirão Preto,SP,17.099999999999998,26.23,66.5,5.793527535279463,31.349999999999998,57.85,53.46,5.8500000000000005,6.163767715858133,5.977275485379686
Ribeirão das Neves,MG,0.0,46.230000000000004,42.72,5.508385438388346,21.5,32.9,0.0,11.48,4.8021838333746505,5.101001778337871
Rio Branco,AC,0.0,65.0,43.0,5.954968915110431,77.0,75.0,59.0,74.0,8.677984219802028,7.401075608750245
Rio de Janeiro,RJ,27.0,31.360000000000003,63.0,5.980756328818749,22.62,70.31,30.68,34.04,6.422269258530444,6.21446235128525
Salvador,BA,58.32000000000001,23.75,64.5,6.282950218108779,55.67999999999999,39.68,28.08,20.470000000000002,6.1355646672969915,6.2227046847381215
Santa Maria,RS,28.080000000000002,38.76,57.0,6.041339654160707,35.04,43.8,38.71,18.45,5.989047382476286,6.016169879854586
Santarém,PA,0.0,71.61,63.64,6.552460320632738,61.919999999999995,51.06,48.0,31.62,6.9848837759699895,6.818068231996039
Santo André,SP,18.81,29.89,65.55,5.883574768157098,34.199999999999996,72.98,49.410000000000004,6.5,6.425990220625523,6.16472908285198
Santos,SP,15.959999999999999,30.5,56.05,5.653470512085342,33.629999999999995,72.09,0.0,5.2,5.574862062377607,5.589371951345801
Serra,ES,42.339999999999996,44.459999999999994,73.14999999999999,6.725527122588606,34.160000000000004,50.4,53.07,26.400000000000002,6.4797831164278366,6.641382770726382
Sorocaba,SP,17.669999999999998,28.669999999999998,69.35,5.920044965418035,33.059999999999995,56.96,46.980000000000004,6.5,6.085103675709685,6.002739750816908
Sumaré,SP,0.0,0.0,60.8,4.810715321756897,0.0,64.08,0.0,3.9000000000000004,4.835693581750813,4.747581552234225
Suzano,SP,0.0,33.55,60.8,5.598224772971538,39.33,58.74,0.0,3.9000000000000004,5.411109114854814,5.472835992491723
São Bernardo do Campo,SP,18.81,30.5,69.35,5.979331096050504,31.919999999999998,63.19,44.550000000000004,7.15,6.148901537421377,6.068236541175366
São Gonçalo,RJ,27.900000000000002,33.040000000000006,62.0,6.011652387034773,19.5,41.870000000000005,22.419999999999998,29.900000000000002,5.6528101052965924,5.821450138408558
São José do Rio Preto,SP,0.0,0.0,0.0,3.5077077339975764,0.0,0.0,0.0,0.0,3.6301651110967197,3.4127121090565478
São José dos Campos,SP,23.369999999999997,32.94,68.39999999999999,6.081569295754053,32.489999999999995,63.19,44.550000000000004,5.8500000000000005,6.132938869248077,6.114146413727281
São José dos Pinhais,PR,0.0,40.150000000000006,63.13999999999999,5.803293312305816,32.68,43.2,41.870000000000005,9.3,5.808836844034059,5.793602487596104
São João de Meriti,RJ,0.0,33.6,68.0,5.7537019386467065,22.62,47.400000000000006,27.729999999999997,32.660000000000004,5.943780710632539,5.83902118283139
São Luís,MA,92.0,63.18,51.84,7.419644998899104,59.4,35.84,49.28,34.58,6.753108992914368,7.156189444232473
São Paulo,SP,18.24,29.28,68.39999999999999,5.922169360346306,38.76,66.75,53.46,6.5,6.459471118050165,6.203082674926095
São Vicente,SP,0.0,31.11,67.45,5.683467813248923,29.639999999999997,0.0,0.0,3.9000000000000004,4.211680645684033,4.87994354509183
Taboão da Serra,SP,0.0,0.0,0.0,3.5077077339975764,35.339999999999996,60.52,0.0,9.75,5.490033477867546,4.402405457417418
Taubaté,SP,0.0,34.769999999999996,71.25,5.8508159094345675,33.059999999999995,72.09,0.0,7.800000000000001,5.616489717452704,5.716536886589301
Teresina,PI,85.0,46.410000000000004,54.0,6.972020197990556,55.04,48.95,30.78,47.0,6.855411534761084,6.972432814494303
Uberaba,MG,0.0,30.82,0.0,4.231136684412934,23.5,54.599999999999994,29.6,12.32,5.714283469453534,4.906694665211641
Uberlândia,MG,32.76,29.48,43.61,5.603594531508408,20.5,49.699999999999996,31.200000000000003,8.120000000000001,5.519914003642085,5.533591845447242
Vila Velha,ES,57.99999999999999,47.879999999999995,75.05,7.070860106327027,35.84,62.64,66.12,31.200000000000003,7.030021212849153,7.117943777329956
Vitória,ES,0.0,0.0,0.0,3.5077077339975764,0.0,0.0,0.0,0.0,3.6301651110967197,3.4127121090565478
Vitória da Conquista,BA,0.0,20.9,48.0,5.026977592993909,41.76,39.04,28.799999999999997,14.49,5.780952468885081,5.3656628019392025
Várzea Grande,MT,0.0,36.96,56.28,5.581398389945457,44.1,35.0,62.0,15.62,6.309543411013804,5.941966767055545
