"","Município","UF","Operações de Crédito por Município","Proporção Relativa de Capital de Risco","Capital Poupado per capita","Índice de Capital Disponível","V7","Tempo de Viabilidade de Localização","Tempo de Registro, Cadastro e Viabilidade de Nome","Taxa de Congestionamento em Tribunais","Índice de Tempo de Processos","Alíquota Interna do ICMS","Alíquota Interna do IPTU","Alíquota Interna do ISS","Qualidade de Gestão Fiscal","Índice de Tributação","Simplicidade Tributária","CNDs Municipais","Atualização de Zoneamento","Índice de Complexidade Burocrática","V16","Nota do IDEB","Proporção de Adultos com pelo menos o Ensino Médio Completo","Taxa Líquida de Matrícula no Ensino Médio","Nota Média no ENEM","Proporção de Matriculados no Ensino Técnico e Profissionalizante","Índice de Acesso e Qualidade da Mão de Obra Básica","Proporção de Adultos com pelo menos os Ensino Superior Completo","Proporção de Alunos Concluintes em Cursos de Alta Qualidade","Custo Médio de Salários de Dirigentes","Índice de Acesso e Qualidade da Mão de Obra Qualificada","V13","Pesquisas pelo Termo Empreendedora","Pesquisas pelo Termo Empreendedorismo","Pesquisas pelo Termo MEI","Índice de Iniciativa","Pesquisas por Sebrae","Pesquisas por Franquia","Pesquisas por SIMPLES Nacional","Pesquisas por Senac","Índice de Instituições","V12.x","Conectividade Via Rodovias","Número de Decolagens por Ano","Distância ao Porto Mais Próximo","Índice de Transporte Interurbano","Acesso à Internet Rápida","Preço Médio do m²","Custo da Energia Elétrica","Taxa de Homicídios","Índice de Condições Urbanas","V12.y","Proporção de Mestres e Doutores em C&T","Proporção de Funcionários em C&T","Média de Investimentos do BNDES e FINEP","Infraestrutura Tecnológica","Contratos de Concessão","Índice de Inputs","Patentes","Tamanho da Indústria Inovadora","Tamanho da Indústria Criativa","Tamanho das Empresas TIC","Índice de Output","V14","Índice de Desenvolvimento Humano","Crescimento Real Médio do PIB","Número de Empresas Exportadoras com Sede na Cidade","Índice de Desenvolvimento Econômico","PIB per capita","Proporção entre Grandes/Médias e Médias/Pequenas Empresas","Compras Públicas","Índice de Clientes Potenciais","V11"
"11","Belém","PA",0.580661046918273,0,12085.1427815616,5.95764917423761,5.95764917423761,48.2636967789874,28.9911626996481,0.980466699447949,5.65498870957305,0.0949895895488403,0.00677787591144306,0.0155423897926632,0,3.44006766325237,0.0224252920451565,1,21,5.92723434949398,3.91812059101645,4.1,0.534132841328413,0.758094736743619,542.607160532498,0.013011341563546,5.77885289769987,0.275566684238271,0.189155107187894,4973.77724032082,5.76064470108741,5.72483479872533,69,56.98,65.86,7.24509096097603,72,37.74,35.2,34,6.76159750623283,7.06782085426683,2,11119,23,5.411160306,1.920423919,1829.891943,0.76597,24.09686542,4.872879814,4.720633355,41.3853045396804,0.0373237041005048,28.7106371598583,1,79.9625593367654,6.69064925530423,6.68583272046533,0.00234004145216287,0.0141739653673865,0.0139065320585679,5.82652055315625,6.28098439860195,0.746,-0.020510237,0.008424149,5.402222508,21.51147953,2.232773302,651435.8598,7.605365656,6.607892753
"12","Porto Alegre","RS",1.14633513826904,0.322557877737266,83609.4937863895,8.71674896508777,8.71674896508777,20.1853216466753,43.1684982508307,0.95993154679274,5.72184864057879,0.0985774299256746,0.0109742455216982,0.0145410059849621,0.738192243013288,5.20928762244167,0.0370373369593197,1,0,6.07924761020884,5.30810524299177,4,0.543913713405239,0.627636970130088,582.977097821048,0.0338727335722629,6.81754236231159,0.429506933744222,0.516276537833424,6400.92419489475,7.5644752158203,7.42333317828609,38.48,32.49,60,6.10744409114652,38.4,46.72,46.61,30.34,6.46032418130334,6.30212701753167,5,18869,6,7.790331926,4.036314178,2388.154335,0.6297,21.70810637,6.231289087,7.507258138,23.4995236583042,0.0656792423053584,2923.88843310046,1,194.532655869588,7.40100713773636,8.12427225574256,0.00751561342225045,0.0173070816132105,0.0236053773684768,7.13351368958677,7.37703477418662,0.805,-0.010650546,0.007065735,6.24344994,55.22936088,1.409395302,642154.1416,7.108109534,6.8154157
"13","Guarulhos","SP",0.162722263553114,0,10479.6138938445,5.63149833570715,5.63149833570715,30.7605172717992,37.6790908189119,0.984135413171998,5.33750746951972,0.0802103444976061,0.0098610471532722,0.00922374850416163,0.589042715872264,5.80874009062546,0.0445668321564659,0,13,5.52362282270373,5.07003363895115,5,0.595847479759728,0.780145021301697,541.710873405299,0.00434155794469939,6.26703651823738,0.275398276312353,0.079967023907667,7253.66258221841,4.6219084781127,5.33610840486075,0,0,0,3.50770773399758,0,0,0,0,3.63016511109672,3.41271210905655,6,83133,64,7.691832097,3.067656728,2552.956275,0.63592,7.902076894,6.393949786,7.5550945,0,0.0892769015973713,1069.1650902285,1,131.906810436337,6.35087416518771,4.80473769484329,0.0302810212861054,0.00960947538968657,0.00888317783116375,5.81627585954734,6.09081456111348,0.763,0.01632466,0.024694117,7.184008964,46.39107307,0.71317188,721672.2434,5.38813491,6.34518281
"14","Campinas","SP",0.437511916687473,0.00406043592313601,32239.2568799014,6.50482478330463,6.50482478330463,50.8328482153318,37.6790908189119,0.986328535848201,5.29425739679139,0.0802103444976061,0.0162373148441872,0.0216721521431622,0.703212117595923,5.29326111241978,0.0589750695853893,1,32,6.90106828565892,5.6424430587557,5.2,0.598980891719745,0.706989523515733,583.557374284854,0.011140926902718,7.01383257797609,0.456942675159236,0.396542291279133,8214.34643862131,6.86732235188837,7.12405141328653,16.53,0,69.35,5.23075127381385,30.78,69.42,46.98,5.2,6.24006648527281,5.7184058005073,10,49496,142,7.571066695,3.848489704,1796.34118,0.67864,13.08004908,6.248778862,7.356820595,34.1270754246712,0.107191130577802,2322.42396756011,1,195.176195406266,8.05410205043691,15.2613213696844,0.00958625714176157,0.0169101575980674,0.0206679703976379,7.61321641532714,7.99249696468561,0.805,-0.00872251,0.012538824,6.612302356,53.85294346,1.050045914,723057.7955,6.331191279,6.56922358
"15","São Luís","MA",0.433592020697719,0,8036.45519529864,5.73225815836106,5.73225815836106,23.6157397783405,26.2735377127573,0.95349213571637,6.31507249869615,0.102109324640978,0.00348573076140417,0.0211058304858579,0.793315848153171,5.61089516153967,0.0266530908767879,1,28,5.98203958996025,5.93568283746566,4.2,0.585572226099093,0.710917361760758,536.9696161869,0.0196761187809052,6.17267632324046,0.26430565247732,0.145825911411946,4463.38563328716,5.76465717257138,5.96255472025183,92,63.18,51.84,7.4196449988991,59.4,35.84,49.28,34.58,6.75310899291437,7.15618944423247,4,4045,12,6.15466534,2.182341756,3264.800767,0.64207,36.20292276,5.220958087,5.534484127,13.7563166760247,0.0534832612496967,6.99494665918024,1,60.7804604154969,5.86213156093909,8.1414935429534,0.00231611454239191,0.0146687254351488,0.0121420550252667,5.85831303105584,5.84811428101718,0.768,-0.007636092,0.002667041,5.525654405,28.76855041,1.564862524,646401.5575,6.50284567,6.017194514
"16","São Gonçalo","RJ",0.154802075996741,0,3853.83914246461,5.41588990383621,5.41588990383621,34.2799183279658,34.7362237089388,0.981921551268757,5.45043074493749,0.0680447322993826,0.00444304100825205,0.00568828739362434,0.653763501437542,7.60412868915999,0.00929319323328038,0,2,6.93684908070716,7.39230260419365,3.6,0.581468871595331,0.452670333120289,541.367517482518,0.0061304404405179,4.48519079415744,0.19625486381323,0.005629045876724,4014.58237597911,5.04247553192657,4.52270000936,27.9,33.04,62,6.01165238703477,19.5,41.87,22.42,29.9,5.65281010529659,5.82145013840856,5,42453,14,7.173157532,1.030252459,1714.994034,0.83802,41.33446593,4.188121052,5.523789055,0,0.0537080205593219,0,0,79.0610599078341,4.78142676374711,1.72811059907834,0.00590437788018433,0.01036866359447,0.00921658986175115,4.82007592843895,4.69686839301254,0.739,-0.023619987,0.003888249,4.981637276,16.7081377,1.372796682,688472.6724,5.693568112,5.200731934
"17","Maceió","AL",0.47951309196522,0,10020.8893812215,5.82550580967253,5.82550580967253,0.780844919803325,35.1570776279,0.968890530819751,5.72066653872082,0.0988375769396495,0.00745328683957337,0.013918128757318,0.65197337816051,5.13427186733425,0.0191480833725479,1,13,6.00074067158934,5.19994265948729,4.2,0.49792003697712,0.589297533995705,547.77766864544,0.0149297001056787,5.2797500831312,0.284723827131962,0.140383080606544,4496.43363493649,5.8509292389956,5.48055254724129,67.89,62.25,71,7.46304641851022,54,49,53.68,46,7.18966269171835,7.41158837283079,4,6969,12,6.227891177,1.665364479,3391.702463,0.75049,41.97375526,4.485227692,5.040541207,14.0343670842747,0.0410565891497095,0,0,106.045046895324,5.29565909057276,8.55754090504553,0.00342301636201821,0.0145820497021976,0.0143766687204765,6.10617285802261,5.67500830977129,0.721,-0.020947539,0.001574588,4.639496116,22.69478197,0.945122395,537343.3714,5.034223622,4.596520919
"18","Duque de Caxias","RJ",0.124516840827928,0,5963.34899709398,5.46293527880429,5.46293527880429,21.4244095626791,34.7362237089388,0.941882101812948,6.27553137808089,0.0680447322993826,0.00279977336861781,0.00832299171196168,0.52295349386926,7.01411670098507,0.0187328235650126,0,0,4.32403158993485,5.72990232847534,3.8,0.530551755585955,0.673848183667465,530.931734870317,0.0211945652097152,5.54310035689989,0.157774737802098,0.080941704035874,4864.30783597018,4.63686569316934,4.9124703653215,30.15,32.48,62,6.03074004324537,22.23,46.61,25.96,36.8,5.9763011749116,6.00374684945387,9,42453,34,7.470761055,1.93189083,1148.032774,0.817278973,36.68840356,4.87455175,6.257454553,5.71646341463415,0.0538804567758229,2183.82901422764,0,123.729674796748,5.38454788785569,6.09756097560976,0.0186737804878049,0.0102896341463415,0.0101626016260163,5.71632719219828,5.51149492726358,0.711,-0.022867903,0.008384146,4.902303938,48.77337648,1.03167517,1297787.506,6.117185307,5.408443447
"19","Campo Grande","MS",0.607902404789198,0.024337520365928,9790.65045016326,5.91143967732236,5.91143967732236,5.64280552182568,27.4302344808505,0.967878235400288,5.97073379772092,0.119046032355113,0.0180536003526245,0.0144085155663792,0.584300072515848,4.31060785625068,0.0254592096593587,1,14.9999999999999,6.12596813592394,4.88646316879905,4.9,0.538326300984529,0.728666614804042,551.848940972222,0.0118420300367609,6.22045391586741,0.348101265822785,0.117653514789003,4633.67532193674,6.07869319772108,6.17875015527506,64,21.12,73.04,6.48560695826282,48.8,37.96,42.09,25.56,6.31551407695236,6.426301223221,6,3959,759,5.527630389,3.029363505,827.3462826,0.81256,17.68557021,5.820318527,5.513850867,11.429839649337,0.0442126117224796,17.013760195306,0,114.353881151862,5.30992231017956,6.3807357265716,0.0043278033623703,0.0175886367419409,0.0148698884758364,6.18606693714059,5.72616507012998,0.784,0.00536827,0.003717472,5.994996459,33.00749235,1.451433035,768506.0633,6.420214402,6.250502817
"20","Natal","RN",0.501078194365408,0,9844.8765517872,5.83411509797422,5.83411509797422,8.54748355495141,28.9875786961797,0.955739531801408,6.15939604733448,0.0957251441070231,0.00986514317774473,0.0166107307240841,0.533752982362588,4.66447440110774,0.0259403500704075,0,13,4.97914211592231,4.46396592900173,3.4,0.526682986536108,0.662130945680162,576.239093227543,0.0211184247989614,5.85451514153687,0.31297429620563,0.283192045382115,3650.03975394251,7.1743953298063,6.61480755843004,57.96,51.46,60.83,6.84956991941096,69,42.77,44.2,41,7.08304899968924,7.02840616213648,4,4193,7,6.913240053,2.895833426,1745.921848,0.67223,34.23634003,5.583135783,6.370082481,26.2160651052991,0.0439286139268705,5295.54008076039,0,105.547617568491,5.89567588555236,6.08809094862397,0.00198794806485681,0.0152823507485867,0.0172702988134435,6.10813958439256,6.00207298939404,0.763,-0.009464414,0.002733429,5.436631232,27.71861855,1.843009015,564886.4365,7.030602637,6.281889062
"21","Teresina","PI",0.538660249512581,0,8465.49042388816,5.81505815287637,5.81505815287637,74.2996276711931,24.4562119419154,0.970382598661986,6.0540215234675,0.107996161652214,0.0050501387336861,0.0137798644109026,0.631318065211311,5.08273076431445,0.0157931035659715,1,14,5.87092492222855,5.30621286670624,5.6,0.499358504398827,0.800962080211617,568.266462124418,0.0211256446674759,7.25282484783014,0.296096041055718,0.191104658835951,3646.37400363416,6.69569631895927,7.16430493659881,85,46.41,54,6.97202019799056,55.04,48.95,30.78,47,6.85541153476108,6.9724328144943,6,3036,332,5.526005276,2.501982492,2638.079035,0.62804,40.40747263,5.463047359,5.246268893,18.189630478373,0.0425090781649885,12.4048983099398,0,78.9888284159267,5.22466308542829,3.50902320252077,0.00365224863935835,0.0123173875680321,0.0137496419364079,5.42053317278876,5.26391930004234,0.751,-0.005301351,0.000358064,5.192017731,25.27493727,1.231824197,709659.3736,5.705640937,5.334941268
"22","São Bernardo do Campo","SP",0.389110728051725,0,18825.6718713598,6.04557096042171,6.04557096042171,15.2609259300156,37.6790908189119,0.98110039630422,5.3979203533582,0.0802103444976061,0.00981695763417941,0.01157208965904,0.877043422571346,6.33034896676745,0.0316465837173623,1,7.99999999999999,6.64385570482071,6.26017295671214,5.6,0.636631944444444,0.758443069120857,575.631967611336,0.0119085445988542,7.51692023968095,0.392361111111111,0.362077815419361,9773.76244822427,6.11364515300673,6.97431599333435,18.81,30.5,69.35,5.9793310960505,31.92,63.19,44.55,7.15,6.14890153742138,6.06823654117537,8,36387,31,7.147333229,3.139212401,3077.512386,0.59449,7.765857056,6.622811275,7.319765027,4.60794681976129,0.143415554274059,1357.35626303067,0,168.001208641789,6.42806263312497,6.26982927934733,0.0233418945460039,0.012615198670494,0.0186584076144433,6.73203727773323,6.63029583405308,0.805,0.005237705,0.02039583,7.307575297,60.08764593,1.212891877,1034483.72,6.878491739,7.318886381
"23","João Pessoa","PB",0.560353819917135,0,10371.5234912739,5.88986498334466,5.88986498334466,13.6816035712903,62.2716803128018,0.93710867355511,5.98648523435763,0.110259918407084,0.00565663019841611,0.0139737736445289,0.749900139833852,5.2830519435328,0.0228296308581116,1,44.9999999999995,5.79232351410493,5.34409550229355,4.2,0.522836015658982,0.667098750832359,562.776080121704,0.0168180854013815,5.92652127095435,0.324380165289256,0.231046654389196,3784.44005051112,6.92523113451409,6.50894983711203,65,52.65,72,7.21773874544205,52.8,36.21,48.1,18.81,6.31683899409525,6.81659616803939,3,4193,22,5.470388004,3.153760735,3755.256993,0.59692,35.48091781,5.823196964,5.473318788,22.337559950069,0.0452037800353306,29.3039879114381,0,109.848235989751,5.60810136993704,17.8700479600552,0.00197096117206491,0.0143880165560738,0.0144537152618093,6.93475168100275,6.29493840427696,0.763,-0.016826375,0.001182577,5.231173821,25.24445505,1.37668745,467387.8688,5.998470733,5.535233234
"24","Nova Iguaçu","RJ",0.168541661528577,0,4931.00866016952,5.45914026097378,5.45914026097378,21.9117431200057,34.7362237089388,0.98253613453101,5.43855589155259,0.0680447322993826,0.00561423904974628,0.00747904058851624,0.790530483450052,7.35597685117143,0.007812558399215,1,5,6.38046336315973,6.82150403896402,3.8,0.555830706888789,0.744307426843217,533.528108733372,0.0166690185818055,5.7247080218112,0.205763169743359,0.102029720913374,3544.28455052935,5.85736307183686,5.75027385018626,23.85,35.84,66,6.10508188722147,22.23,53.72,22.42,38.18,6.07143949478459,6.09393247432784,7,42453,42,6.98448874,1.989872642,2251.872005,0.8022,30.8945611,4.611632926,5.698880798,0,0.0342340159134052,0,0,109.831150386618,4.84947102364483,1.42023039293041,0.00741675871863658,0.0129398769133659,0.00994161275051286,5.08387231310383,4.87716129182206,0.713,-0.025104383,0.002051444,4.501865004,21.11089815,0.976548594,941181.1011,5.04287029,4.518702707
"25","São José dos Campos","SP",0.195557720358011,0.112195602394575,13135.2571347195,5.77761469791409,5.77761469791409,2.32098053772847,37.6790908189119,0.972757275485801,5.57028453272777,0.0802103444976061,0.00708648187596139,0.00884173891815439,0.793926543915272,6.52507659351306,0.0311104156984971,1,10,6.48374506948303,6.40488481314448,5.7,0.603067907618063,0.686787022422533,589.979246190858,0.0124798420470193,7.39136390297595,0.423129955187866,0.29458495460441,7255.77670480302,6.41598800992494,7.07995170400385,23.37,32.94,68.4,6.08156929575405,32.49,63.19,44.55,5.85,6.13293886924808,6.11414641372728,7,11,104,5.741605147,3.903950848,2155.607293,0.63592,8.273317872,6.735023032,6.355359238,29.5296523517382,0.141070089776719,2069.0039803681,1,171.370143149284,8.01665338846669,10.961145194274,0.010961145194274,0.016359918200409,0.0197137014314928,7.13341543007871,7.71146918875365,0.807,-0.03658051,0.013742331,6.300984582,58.94043211,1.005227473,839109.3776,6.417278227,6.433338512
