,,Inputs,Inputs,Inputs,Inputs,Inputs,Inputs,Output,Output,Output,Output,Output,Índice de Inovação
,,Proporção de Mestres e Doutores em C&T,Proporção de Funcionários em C&T,Média de Investimentos do BNDES e FINEP,Infraestrutura Tecnológica,Contratos de Concessão,Índice de Inputs,Patentes,Tamanho da Indústria Inovadora,Tamanho da Indústria Criativa,Tamanho das Empresas TIC,Índice de Output,
Palmas,TO,15.852047556142669,0.03644218858575788,205.25099075297226,0,115.75297225891677,5.39267185820177,5.449141347424042,0.002476882430647292,0.015852047556142668,0.015026420079260238,5.924826889696159,5.62918909663762
Limeira,SP,2.5074439742986994,0.15080808787518366,6860.5077574047955,0,97.6335997492556,6.116387287078041,5.798464190565742,0.04027581883717286,0.0540667606958157,0.011596928381131483,9.668950474821731,8.056618226997575
Camaçari,BA,0.0,0.18311035165731374,0.0,0,116.56441717791411,6.183308769952223,7.011393514460999,0.025124160093485247,0.009640666082383873,0.008764241893076249,5.852016825346383,6.019192808605325
Santarém,PA,11.133899794901847,0.030554350968488003,0.0,0,45.121593905654855,4.6523254537508105,1.464986815118664,0.00527395253442719,0.007617931438617052,0.007910928801640784,4.471057012724496,4.43710008890236
Petrópolis,RJ,0.0,0.05632086647486884,0.0,0,128.2527881040892,5.180853665718024,1.858736059479554,0.0035484961135518757,0.014362960459614734,0.013518080432578574,5.390215416917398,5.223645139582614
Mossoró,RN,33.19166160696216,0.053271245634458675,9.514470754907913,0,79.1337785873305,5.7634975439982545,3.0358227079538556,0.008297915401740538,0.012345679012345678,0.010524185387573366,5.269163335255076,5.474433355078742
Suzano,SP,0.0,0.09365901362434156,0.0,0,92.42040011270781,5.227881112927667,3.663003663003663,0.01972386587771203,0.01098901098901099,0.008734854888701042,5.455555106362852,5.284695517619268
Taboão da Serra,SP,0.0,0.06944400208087821,0.0,0,178.71621621621622,5.680547990792797,6.418918918918919,0.03581081081081081,0.00945945945945946,0.011824324324324325,6.3724023757522055,6.0287685527190575
Várzea Grande,MT,0.0,0.0431831885768535,0.0,1,92.14579055441479,5.6052763874450555,1.2833675564681726,0.013347022587268994,0.009496919917864477,0.00795687885010267,4.853878997910831,5.16284112045586
Sumaré,SP,0.0,0.1162793649182034,0.0,0,147.85675529028757,5.847477434898964,2.1703743895822027,0.029571351058057516,0.008138903960933261,0.006782419967444384,5.26879507802988,5.519860532419927
Marabá,PA,4.92156259612427,0.07990811387316434,0.0,0,49.215625961242694,4.924433907683879,3.6911719470932023,0.003383574284835435,0.007689941556444171,0.011381113503537373,4.9044064212259215,4.82038358684136
Gravataí,RS,0.0,0.15974323329789844,0.0,0,87.32876712328768,5.758038950989592,2.5684931506849313,0.02711187214611872,0.010559360730593607,0.01113013698630137,5.750719615029153,5.733102790152277
Santa Maria,RS,71.02708226877874,0.0497527190316329,19.865780957247487,1,95.89507749957417,7.798964741127859,10.049395332992676,0.006983478112757622,0.016862544711292796,0.015499914835632771,6.617561890551561,7.312927149265192
