,,Acesso e Qualidade da Mão de Obra Básica,Acesso e Qualidade da Mão de Obra Básica,Acesso e Qualidade da Mão de Obra Básica,Acesso e Qualidade da Mão de Obra Básica,Acesso e Qualidade da Mão de Obra Básica,Acesso e Qualidade da Mão de Obra Básica,Acesso e Qualidade da Mão de Obra Qualificada,Acesso e Qualidade da Mão de Obra Qualificada,Acesso e Qualidade da Mão de Obra Qualificada,Acesso e Qualidade da Mão de Obra Qualificada,Índice de Capital Humano
,,Nota do IDEB,Proporção de Adultos com pelo menos o Ensino Médio Completo,Taxa Líquida de Matrícula no Ensino Médio,Nota Média no ENEM,Proporção de Matriculados no Ensino Técnico e Profissionalizante,Índice de Acesso e Qualidade da Mão de Obra Básica,Proporção de Adultos com pelo menos os Ensino Superior Completo,Proporção de Alunos Concluintes em Cursos de Alta Qualidade,Custo Médio de Salários de Dirigentes,Índice de Acesso e Qualidade da Mão de Obra Qualificada,
Município,UF,,,,,,,,,,,
Santos,SP,5.3,0.6025641025641025,0.9009633968415098,566.0082440846825,0.013731990466686769,7.570362311785825,0.44427001569858715,0.091390377870426,6089.9811273157275,6.003254255426782,6.940287213065372
São Bernardo do Campo,SP,5.6,0.6366319444444445,0.7584430691208569,575.631967611336,0.01190854459885415,7.516920239680955,0.3923611111111111,0.362077815419361,9773.76244822427,6.113645153006726,6.974315993334352
São José do Rio Preto,SP,5.3,0.6001100110011002,0.7699896101743001,584.8398716302952,0.009636979387768632,7.219550836695744,0.400990099009901,0.171752798650514,4754.204403601826,6.568251837872627,7.068270396617901
São José dos Campos,SP,5.7,0.6030679076180627,0.6867870224225334,589.979246190858,0.01247984204701934,7.391363902975954,0.4231299551878662,0.29458495460441,7255.776704803023,6.415988009924936,7.079951704003852
São Paulo,SP,4.9,0.5656107396795076,0.7640954310848768,566.062000949217,0.015257903053834522,6.805784321184005,0.40543086066008704,0.168245162583966,11044.569811138981,5.272266238305185,6.046637754450108
São Vicente,SP,4.9,0.5722627737226278,0.5925480754170819,525.9733198380567,0.005873457818055641,5.374416274952885,0.23649635036496353,0.041925465838509,4512.803026188167,5.140011112095879,5.112321920636316
Sorocaba,SP,5.5,0.611152835148329,0.7605689068548932,563.5104572204617,0.018456379337757726,7.467531059820493,0.36612842658655653,0.256201044386423,7624.705461633546,5.832627922119317,6.776887388670282
Sumaré,SP,5.2,0.5658783783783783,0.6178182973311074,526.6573076923078,0.006510114092259293,5.622104061512293,0.1866554054054054,0.0,9623.63337888623,3.3733931898319027,4.204711633670081
Suzano,SP,5.2,0.651006711409396,0.8629698903395829,547.0985121951219,0.010972731919799621,7.278384966289029,0.2636625119846596,0.15609756097561,5823.470847098687,5.230913578545325,6.304322488284939
Taboão da Serra,SP,5.3,0.569060773480663,0.799099147613454,544.77451303155,0.009875364606571263,6.637224109623403,0.2668508287292818,0.167582417582418,6630.557994304313,5.069288873056286,5.824631936815584
Taubaté,SP,5.6,0.615205223880597,0.7425969075941925,577.9055841121495,0.013816989683953519,7.471776421365293,0.4025186567164179,0.06750219876869,6041.119027982328,5.661164793682068,6.67696932013798
Cascavel,PR,5.0,0.511435331230284,0.6358928162785052,548.3373959445037,0.015132374880526584,5.950635614683698,0.3592271293375394,0.297551789077213,4636.524460815716,6.882881032545536,6.498053376913183
Curitiba,PR,5.0,0.5464135021097046,0.6551163915563389,571.5308924371827,0.015561308239048792,6.511230188694201,0.449212719975301,0.223233041665977,6551.383431777517,6.447403503005622,6.572814890933473
Londrina,PR,5.3,0.4996144949884349,0.678653097445409,567.2281864801864,0.010577502345072444,6.233409394186704,0.41037008481110254,0.110959836623553,5082.518868202975,6.228964066873318,6.276283220546939
Maringá,PR,5.2,0.5282485875706214,0.5959005792180077,553.4855439814816,0.007041030770552093,5.734974071899693,0.3830037664783428,0.24031683743914,4786.386763018783,6.72208178540302,6.273105778899891
Ponta Grossa,PR,4.8,0.5246268656716417,0.6626327106989535,549.7971769383698,0.015389744569733218,6.02079596782687,0.31828358208955226,0.344666123778502,5120.261078979343,6.599366787433045,6.3705674691918155
São José dos Pinhais,PR,4.9,0.5543885971492873,0.5715649049624041,538.7562865792129,0.007620632615476913,5.461793935493828,0.2115528882220555,0.410596026490066,8558.174801594836,5.3504576007716205,5.290281561558606
Blumenau,SC,4.9,0.5094339622641509,0.6855299173438604,566.0678808705612,0.008618042382766615,5.982782493390365,0.3601312551271534,0.195003046922608,5938.25287262079,5.951887492800104,5.960963186398516
Florianópolis,SC,4.5,0.532442748091603,0.8189756988343896,593.7394146341464,0.04321938968653393,8.176614967395675,0.5022900763358779,0.720747810171264,5798.121299963039,9.030394242211818,9.111357798412184
Joinville,SC,5.8,0.5846256092157731,0.7002535185708262,569.4714707619611,0.018384126168426825,7.385633955010763,0.330970314576872,0.388975289441852,6390.610370818218,6.4351899893863775,7.088001682133135
Canoas,RS,4.2,0.5757575757575757,0.6664376111713297,557.0423863636363,0.007770565789525913,5.722930488546536,0.26233766233766237,0.129426468546035,5539.479813221922,5.209688677952839,5.36220514569856
Caxias do Sul,RS,4.7,0.5434944237918216,0.5932716138370062,573.4714313346228,0.011309824142955175,5.978094349684339,0.2843866171003717,0.308922405960385,5677.835918396361,6.0333100582321135,6.006814505617093
Gravataí,RS,4.4,0.5632832080200502,0.6091333877183452,552.6078431372549,0.009616160495030607,5.6160071765803385,0.20739348370927319,0.234015345268542,6192.300532438478,5.089447846308382,5.226467162282181
Pelotas,RS,4.4,0.4916666666666667,0.6810189794062963,556.9804245283019,0.028322886888441458,6.350771177745544,0.3003205128205128,0.376889848812095,4443.839478228228,6.944851032055944,6.774176519377763
Porto Alegre,RS,4.0,0.5439137134052389,0.6276369701300883,582.9770978210477,0.03387273357226285,6.817542362311586,0.4295069337442219,0.516276537833424,6400.92419489475,7.564475215820302,7.423333178286086
Santa Maria,RS,4.5,0.5179186767746382,0.6302632898398985,573.10700729927,0.023865350174831646,6.398569355431783,0.33873190902825634,0.590361445783133,3952.0886770304573,8.363074202771067,7.650172080624554
Campo Grande,MS,4.9,0.5383263009845288,0.7286666148040419,551.8489409722222,0.011842030036760898,6.220453915867408,0.3481012658227848,0.117653514789003,4633.675321936738,6.078693197721079,6.178750155275065
Cuiabá,MT,4.3,0.5573964497041419,0.8075518090036858,553.7689535296205,0.008950802112090464,6.128086766453256,0.41420118343195267,0.180366369187412,4807.113817953183,6.660109242486236,6.470972817671684
Várzea Grande,MT,4.3,0.5186263096623981,0.7509693913267542,507.2455218855219,0.002960312717307014,4.883318238942812,0.20954598370197902,0.207792207792208,4201.174832535886,5.8318083372209895,5.232246230744296
Anápolis,GO,5.5,0.4220392431674842,0.7284961505993949,551.5240498812352,0.0066478708959845385,5.721001805639625,0.19498948843728103,0.182884180209833,5308.495121082621,5.096999331649302,5.2937171356592145
Aparecida de Goiânia,GO,4.7,0.41673212882953653,0.6299267711749874,522.5952102376599,0.003594950494899988,4.436120840138236,0.1286331500392773,0.137704918032787,4268.984585127202,5.001974418575142,4.469178375777803
Goiânia,GO,5.4,0.4766628380494936,0.6530207261585833,570.4117939963011,0.006447360819824084,5.951414446445803,0.2946120914691448,0.222670490448646,4908.816929198275,6.045010915380421,5.997864037125581
Brasília,DF,4.6,0.4962159285756519,0.7377783207024557,550.3505582423655,0.011781773066399272,5.8444784820242965,0.39076450067995033,0.339875596352437,6234.382384400728,6.647593945462473,6.2940293214422764
