"","RC1","RC3","RC2","Município","UF","ICE"
"1",3.01653393542546,2.38690469003611,-0.842653658082133,"São Paulo","SP",8.63317042863252
"2",0.573056657556604,1.95604666964361,0.444359540992553,"Rio de Janeiro","RJ",7.71672958737645
"3",1.24796991926938,1.04116281810283,1.13803128405928,"Brasília","DF",7.97867407033047
"4",0.0172845126208883,0.100123584069461,-0.0292224928880641,"Salvador","BA",6.0509139820939
"5",-0.417204060829477,0.53970664070604,0.115752031780781,"Fortaleza","CE",6.13755636417604
"6",1.72430215542244,-0.535855427617204,0.161395578641282,"Belo Horizonte","MG",6.77933181899044
"7",-0.728356884185111,0.887210929308165,0.993629658300992,"Manaus","AM",6.66538677640853
"8",1.893820703365,0.838241093032682,0.325678316855359,"Curitiba","PR",7.76538707749856
"9",1.17388644687389,-1.39357982626077,0.178924468770449,"Recife","PE",5.97646205848104
"10",-0.25282724673446,2.01024294509335,0.591792952182109,"Goiânia","GO",7.35631624677244
"11",0.156185908209928,-1.67822894602862,1.25688783139604,"Belém","PA",5.84691257019486
"12",2.28314962423494,-0.618515470767246,0.200644061930295,"Porto Alegre","RS",7.07691887977357
"13",0.0913463153793563,-0.251991266508323,-3.0047052468322,"Guarulhos","SP",4.17248421112769
"14",1.69368388251042,-0.47856972467826,-0.398255237782015,"Campinas","SP",6.4716137173809
"15",-0.176732168674328,-0.125601707750192,1.15994731787547,"São Luís","MA",6.49514335128235
"16",-1.64217993009629,1.42503021939687,-0.327465194279173,"São Gonçalo","RJ",5.68556643800592
"17",-0.584542557232711,-1.09015963987258,1.50097340131541,"Maceió","AL",5.89969763298472
"18",-0.604948399951785,0.260468509528373,-0.370605832560258,"Duque de Caxias","RJ",5.58714506534172
"19",0.0968058162077087,-0.916431978739171,0.528447613325011,"Campo Grande","MS",5.83188798623341
"20",0.590596185707417,-1.44794412316153,0.894913950434688,"Natal","RN",6.02168874770671
"21",0.0660719053498048,-1.21484129388352,1.35265696483203,"Teresina","PI",6.11771454706025
"22",1.1140277326718,0.56105875953142,-0.216457130008632,"São Bernardo do Campo","SP",6.84214005491094
"23",0.201074373358892,-1.07518463008296,1.04176573708949,"João Pessoa","PB",6.09679593672009
"24",-0.978707088400027,0.441595683994745,0.137660676712348,"Nova Iguaçu","RJ",5.76937701483849
"25",1.07349455276016,0.0351994004289296,0.243831500728708,"São José dos Campos","SP",6.78088093490526
"26",0.840279990584412,0.279399205826838,0.134693487830142,"Santo André","SP",6.72421240691088
"27",0.592823332539088,-0.110875537249491,0.0940646862072396,"Ribeirão Preto","SP",6.33256096124878
"28",-1.67255211688714,0.390595999220275,-0.353673388024402,"Jaboatão dos Guararapes","PE",5.05566886459465
"29",0.362977590778746,-0.119409545279232,-0.360107754340866,"Uberlândia","MG",5.93271576772916
"30",1.52894070173563,0.995425164551616,-0.292531321328803,"Osasco","SP",7.28855027531846
"31",1.17273770778772,-0.514344671591509,-0.277013049310657,"Sorocaba","SP",6.22018983809191
"32",-0.923110137213722,0.811721374642268,0.00862961984232918,"Contagem","MG",5.94067198128364
"33",-0.561688885463784,0.176609140086614,1.44994065014484,"Aracaju","SE",6.61479773001712
"34",-0.759489586310504,-0.677807733194423,0.540209652180188,"Feira de Santana","BA",5.48206619378337
"35",0.267794704760387,-0.935414970431292,0.962122051825435,"Cuiabá","MT",6.17003068551314
"36",0.973753726172908,2.07016027901047,0.405820384848232,"Joinville","SC",7.99170507871746
"37",-1.50581654881715,1.46347963470609,0.477516616071494,"Aparecida de Goiânia","GO",6.25125111807272
"38",0.189910042745751,0.740692706926294,0.106016924021648,"Londrina","PR",6.59849264765432
"39",0.648020591711542,-1.44503786481924,-0.379165361268605,"Juiz de Fora","MG",5.32093063942668
"40",-0.31925037922,0.0373335718451687,0.96988186450226,"Porto Velho","RO",6.39719681092558
"41",-1.25722800138376,-0.683250231059257,1.38755266795367,"Ananindeua","PA",5.68076827650025
"42",-0.451617666474935,0.740514883683518,0.505322788172686,"Serra","ES",6.45854313390266
"43",0.812339811223397,-0.0713670978109573,0.461066762564989,"Caxias do Sul","RS",6.69399781503213
"44",-1.1050247621175,1.27385949077723,2.38972836402808,"Macapá","AP",7.47718709030195
"45",0.999239625374662,2.15777035012543,0.00986814305225014,"Niterói","RJ",7.82839793423693
"46",2.43452591245412,0.7609218536843,0.963283215517052,"Florianópolis","SC",8.40104445174602
"47",-1.86001530245948,0.709782159562409,-0.906737969394713,"Belford Roxo","RJ",4.81240717460306
"48",-0.508614631011198,0.330973649038155,-2.01239489166703,"Campos dos Goytacazes","RJ",4.73558219881897
"49",0.31922995617668,-0.76657012642207,1.26260042619869,"Vila Velha","ES",6.47069072823424
"50",-0.531459205351798,0.521896773755814,-1.21748538617082,"Mauá","SP",5.29156361210379
"51",-1.12234269291165,-1.00176483273307,-0.282225255358125,"São João de Meriti","RJ",4.61070312112818
"52",0.617005584654551,-0.52984364865369,-1.93861794641413,"São José do Rio Preto","SP",4.93106137399515
"53",0.259295294918334,0.491941504282567,-0.361835744710758,"Mogi das Cruzes","SP",6.22482080363261
"54",-0.692966093441077,0.777543964946494,-0.525505734497522,"Betim","MG",5.7454301796083
"55",-0.623704888045244,1.24141059934144,2.49267219333953,"Boa Vista","RR",7.7957775205229
"56",0.415521761368173,0.473943593257009,0.29855025291999,"Maringá","PR",6.68590113081768
"57",0.593318427333503,0.104055755469689,-0.778513948158136,"Santos","SP",5.95315393463034
"58",0.245848513742624,0.113779908149983,0.0156453413557597,"Diadema","SP",6.21666440823125
